S1,S2,pvalue,down,name,up,w
600156,600566,1.4977521304094635e-07,0.5721230087085284,"{600156, 600566}",1.111331294827652,1.4751251393319413
600103,600012,6.503811532870073e-06,1.3078258837012335,"{600012, 600103}",1.5383479705044139,1.0401002978075082
600130,600242,1.541921710665789e-05,-2.1684487641634362,"{600242, 600130}",-1.3111311858569248,2.0672724609730664
600103,600020,3.179550990767805e-05,0.6038545142877054,"{600020, 600103}",0.7731346085230328,0.8431817350471316
600229,600219,4.384125814738604e-05,-10.288564221473267,"{600219, 600229}",-8.414761774001155,3.1635679843851072
600500,600026,4.7569517528122135e-05,-3.0580059601893987,"{600026, 600500}",-1.833522250300014,1.388139849993974
600035,600033,5.440145570838234e-05,0.1760045393538757,"{600033, 600035}",0.49503610624169714,1.1640966012473837
600400,600156,9.469502161494627e-05,-0.9728464891593115,"{600400, 600156}",-0.46904266572444475,1.0243996021225936
600573,600077,0.00010561367598855203,-6.3422881427863755,"{600077, 600573}",-5.2904039243892464,1.665249317612711
600116,600101,0.00013533948742071574,-0.8011439821267725,"{600116, 600101}",-0.1512884093238251,0.9523288595636961
600103,600156,0.0002603889242907273,-1.3194022177514675,"{600156, 600103}",-0.8133336033860858,1.5999353581008537
600308,600069,0.0005086823284404351,-2.262700198479087,"{600308, 600069}",-1.31855794889331,0.812981350898803
600567,600083,0.0006842662874057559,-5.009399229317053,"{600083, 600567}",-4.003415492989273,2.4383307709678785
600074,600229,0.0009100737507984197,1.776960443439559,"{600074, 600229}",2.2984760773982664,1.0283630813773008
600452,600116,0.0009180465175005492,1.5002765108413108,"{600452, 600116}",2.1595973912398008,0.7320369700966984
600567,600121,0.0010378845937700576,-10.238411266019147,"{600121, 600567}",-8.409387742452262,4.190309641122642
600566,600077,0.001567602464021474,-2.1837370428072047,"{600077, 600566}",-1.3003941570652835,1.1118816194690122
600512,600172,0.0016595125442198336,-3.212344647377403,"{600512, 600172}",-2.4802056793226557,1.7411810111499504
600229,600226,0.001690362780415517,-0.7523702102669875,"{600226, 600229}",0.5301989498371841,1.6640262194640176
600117,600019,0.0017490438695228312,2.6315916515809468,"{600019, 600117}",3.2607990333406773,0.424835017732701
600229,600172,0.0019223851185847934,-5.02629213310458,"{600172, 600229}",-3.6455752250200066,1.7416067217565627
600156,600281,0.002314862847519744,-2.939971837712744,"{600281, 600156}",-1.8944671804032551,1.9170949453218322
600393,600322,0.0023673573922479143,0.7076596201535429,"{600393, 600322}",1.2414332770746825,0.6578257938527063
600008,600029,0.002510300608638309,-2.4886475272073025,"{600008, 600029}",-1.6979642082767756,1.1459245890317882
600567,600235,0.0028945273991020344,-3.6935671370204464,"{600235, 600567}",-2.8716464401389503,2.1080976098574475
600156,600021,0.0029299470934074697,0.2824860681332565,"{600156, 600021}",0.7768374889604756,0.9253455630017096
600322,600177,0.00309027640824776,-0.167417738522684,"{600177, 600322}",1.1237038222930287,2.059017907587957
600103,600074,0.0031979636621407765,0.9016999195646843,"{600074, 600103}",1.2097278106157283,0.8532968713251068
600098,600012,0.003205628829031143,-0.2653867904222567,"{600098, 600012}",0.0773482216580058,0.8173926895324409
600229,600108,0.0032256919267012467,-1.5296280785784013,"{600108, 600229}",-0.9593002695217588,0.9471365756176964
600322,600020,0.0034147182020309143,1.3604417916388694,"{600322, 600020}",1.6089558729933522,0.3933730446287402
600021,600116,0.003709971012932114,0.7774724745160009,"{600116, 600021}",1.4374359468044864,1.2726200710253555
600156,600099,0.003970679580406178,-1.6097200032140848,"{600099, 600156}",-0.7726879426492781,1.5529710161187618
600566,600099,0.0040654952242529675,-2.280844959392518,"{600099, 600566}",-1.481398761232008,1.0276963210992696
600156,600080,0.004402399501518429,-0.6117689870631863,"{600080, 600156}",-0.11305385100048582,0.9474284788373029
600171,600601,0.004500503347911695,1.3979261456248668,"{600601, 600171}",1.7231200052188371,0.45446909395489854
600598,600093,0.004629272124307778,0.15833955175993075,"{600093, 600598}",0.7399058269910903,0.4479888705059121
600375,600068,0.0049234723625041854,4.651791938464191,"{600068, 600375}",5.471831782690684,0.877159293854813
600074,600055,0.004991255464382114,0.3722979740098218,"{600074, 600055}",1.437537079593923,1.9495712798891929
600098,600113,0.005128980182987884,-5.250136672000734,"{600113, 600098}",-4.253751461874266,1.902997703107097
600215,600076,0.0052003368527728825,-4.150677180082349,"{600076, 600215}",-3.0440426502089664,1.4508484765679213
600229,600091,0.005236431269608243,-6.7694344441849905,"{600091, 600229}",-5.0566530085998105,1.8238424514986402
600156,600278,0.006047774270201036,-0.6260800376404552,"{600156, 600278}",0.418340173855231,2.0034520589066713
600598,600359,0.0061228137100095,-7.94674414858439,"{600598, 600359}",-2.380488234838307,1.1444367778414506
600621,600375,0.0062400087101829186,1.7557519390025562,"{600621, 600375}",2.371774259751208,0.638952731096326
600085,600056,0.006473313755251392,-21.350235886021053,"{600056, 600085}",-18.40577263295556,2.0734002836007566
600270,600035,0.006581997487979495,1.0550341029075456,"{600035, 600270}",1.505137337921143,0.46316545114437924
600020,600156,0.00679813436121984,-2.420072739677954,"{600020, 600156}",-1.8750430484785316,1.8361941047699992
600393,600080,0.006857991829494064,0.16920322393789827,"{600080, 600393}",0.6864677259579468,0.5100612947842865
600322,600067,0.007013466160916078,-9.63231010693942,"{600322, 600067}",-7.284145140691367,3.4842647117763237
600103,600393,0.007095307657521425,-3.904166183972773,"{600393, 600103}",-2.9406857980204304,2.9422263339541894
600332,600085,0.007146625408182635,5.656427643082953,"{600332, 600085}",7.506941044625968,1.3086587982644242
600203,600087,0.0073579097621244705,0.17620952786058008,"{600203, 600087}",0.9223391016607122,0.9281762361339752
600320,600000,0.0076613849142944815,-1.2247992922184632,"{600320, 600000}",3.174260285203894,1.8546487507938874
600598,600350,0.007886226118013838,2.794393307506289,"{600598, 600350}",3.507446662325583,0.15307824546339538
600008,600007,0.00819278768560619,-3.40689886203895,"{600008, 600007}",-1.7536425034508825,1.9515379302585951
600566,600071,0.00823593095123067,-0.7407441752842987,"{600566, 600071}",0.030323948200560336,0.7754171332794559
600008,600270,0.008324819083860967,0.8994496653169186,"{600008, 600270}",1.6592032252559465,1.051287114393663
600229,600095,0.008389441253293455,-3.8183624670279435,"{600229, 600095}",-2.665789700570239,1.338391912841859
600375,600073,0.008435787708401159,-1.506131324075641,"{600073, 600375}",-0.44659383041720924,1.2179654449222155
600012,600156,0.00852414590355477,-3.2078814917875462,"{600012, 600156}",-2.6332031439599373,1.4739326542251012
600088,600037,0.008717400123857131,3.4627007975415567,"{600088, 600037}",4.644206672265083,0.5437931093866606
600016,600177,0.008892688479749764,0.888896374160883,"{600016, 600177}",1.9565684805124492,1.6235365974631029
600021,600452,0.009972184432946294,-1.0860079871901522,"{600452, 600021}",-0.17164161659708205,1.6721652956848243
600358,600012,0.010192186262273395,1.708497025710734,"{600012, 600358}",2.017813080650555,0.6643147923111846
600255,600103,0.010237750425857813,1.222298123142275,"{600103, 600255}",1.5440224018495114,0.34677533545255157
600598,600020,0.010423040716742207,1.719385732447018,"{600020, 600598}",2.5780710623628695,0.11413408206402598
600127,600108,0.010717876490775907,-0.4638191523336798,"{600108, 600127}",0.01280674746741639,0.7477081502813518
600106,600512,0.010723638195272412,-0.9640126195157921,"{600512, 600106}",-0.3772380483238207,0.739078891821099
600266,600067,0.011115780538868095,-4.977005021607012,"{600266, 600067}",-3.106327411728133,0.9937593256335476
600376,600067,0.011381226167948998,-1.702728842338253,"{600376, 600067}",-0.2513509608536255,0.6655257623538017
600115,600008,0.011655311226199365,0.5687429175008722,"{600008, 600115}",1.2728395741260043,1.0060140065390148
600229,600055,0.012215058843472218,-0.678287675085055,"{600229, 600055}",0.7509961569682193,1.418380454229065
600008,600393,0.012311308533317477,-7.9130427263550756,"{600008, 600393}",-6.192301237983117,2.200561376615445
600010,600117,0.012777824516857852,-6.1617690268648575,"{600010, 600117}",-4.181719553736241,3.5758704767714358
600000,600026,0.013125301590523941,1.1794005495842022,"{600000, 600026}",3.274889068201859,0.49889378057458894
600004,600270,0.013240297977969393,-0.9760764235295,"{600004, 600270}",-0.25170705904556,0.9426568666965279
600393,600067,0.013262188375716643,-6.760715945402317,"{600393, 600067}",-4.446482715887375,2.369891886645215
600071,600077,0.013647703299886495,-1.3356077116464018,"{600077, 600071}",-0.28828039353315627,1.3638296385378523
600456,600156,0.014080441350258316,-0.652268846637774,"{600456, 600156}",0.22828021640375834,0.22698839507820778
600470,600229,0.014258478604407418,2.105297115409267,"{600229, 600470}",2.6512336233080194,0.3901522989765114
600303,600197,0.014292820810380141,2.031653349515569,"{600197, 600303}",3.011021928938158,0.6706773346825051
600598,600017,0.014402555887899043,0.319087953264204,"{600017, 600598}",1.7210279047081087,0.37599596012499237
600375,600156,0.014484411255869216,-0.04761017020910843,"{600156, 600375}",0.4787226106910746,0.6166832164190493
600535,600056,0.014772689662421325,-9.528375922315862,"{600056, 600535}",-7.524548902175988,1.428518197908521
600006,600080,0.015106147387804131,-0.8715143392968299,"{600080, 600006}",-0.29034396858459194,0.9881557204816678
600177,600156,0.015514375284184109,0.14509536524615857,"{600177, 600156}",0.6755385526630453,0.3508564901466514
600566,600601,0.015587237140412363,0.7336892724637094,"{600601, 600566}",1.073969405122852,0.41799903828950846
600393,600074,0.016977559820676738,2.0259682392340586,"{600393, 600074}",2.419509153323187,0.2653898830383853
600221,600270,0.01718840619070951,3.650200830336625,"{600221, 600270}",4.396434577746041,0.8025833912727334
600197,600095,0.017237941877407726,-0.6160272935310014,"{600197, 600095}",0.043713870666976185,0.6434189918965961
600229,600075,0.018296167155525404,-3.4631073578181804,"{600075, 600229}",-2.5139080797082505,1.725429689812827
600102,600117,0.018524359831389503,-2.056191334547333,"{600117, 600102}",-1.0013216528717481,0.9729433952741429
600393,600012,0.019037891500417202,2.6303193964452802,"{600393, 600012}",2.912637689966501,0.333779268476037
600375,600104,0.019137042671047468,-13.803809400080484,"{600104, 600375}",-10.375947412534464,3.7272370798416445
600270,600072,0.02033433715030557,-2.026316504302394,"{600072, 600270}",0.2043441155831598,2.1966840829990453
600020,600074,0.020495328783449528,0.28029087516023704,"{600074, 600020}",0.5863093376125932,0.9918952422572966
600212,600398,0.02301851812801325,0.9839818920928928,"{600212, 600398}",1.3834617811864773,0.746506495232548
600598,600108,0.023504105005592052,-0.9104242585657004,"{600108, 600598}",0.11551089540940784,0.3787850423699406
600615,600048,0.02355323408501964,2.932835822965819,"{600048, 600615}",6.522894484255005,2.0846800852534315
600156,600081,0.02372792199836497,-0.836437241016466,"{600081, 600156}",0.0151965870863075,1.287795559754358
600004,600009,0.02396509350608412,-2.493680781243199,"{600009, 600004}",-1.6045450030936792,1.810184624860638
600258,600266,0.024305475807789582,-7.587875765425904,"{600266, 600258}",-2.9161828599164643,1.2286462538976914
600270,600029,0.024356384855493542,-2.4219555228233514,"{600029, 600270}",-1.5832749524808758,0.9062969629374287
600221,600008,0.024551397258605,2.8721476403399566,"{600008, 600221}",3.4753721775448603,0.651946080709285
600601,600077,0.024883569485498917,-3.8862986851848977,"{600601, 600077}",-2.783024351450045,2.461096661571074
600183,600071,0.024931960984056343,0.31163896176046213,"{600071, 600183}",1.1252504374475212,0.6450555134497883
600037,600007,0.024954958022457605,-2.046731265624521,"{600037, 600007}",-0.5043464116631995,0.9832886829488516
600196,600079,0.025296662267072226,-3.707825461267311,"{600196, 600079}",-2.413119324798962,0.7751343018667246
600102,600010,0.026367357531391432,1.0648734846188872,"{600010, 600102}",1.4686942609758837,0.2515180920694978
600270,600219,0.026739772741480008,-7.4665976919739325,"{600219, 600270}",-5.109089806667285,2.085141386277167
600416,600268,0.028622443168440738,6.883744020713825,"{600416, 600268}",8.685737938967335,0.44464519778195033
600150,600219,0.029925146596498694,0.3674383951653769,"{600219, 600150}",1.9602030817142126,0.14002566042822293
600106,600039,0.030144121244279468,-0.056831192633482575,"{600106, 600039}",0.6121115965650343,0.8904171017916163
600020,600098,0.03126790364311504,1.2038482828743247,"{600098, 600020}",1.623057697178635,1.3471399333784513
600527,600063,0.03130213487327177,-2.775385827527517,"{600063, 600527}",-1.2684376919704534,1.7685572086060346
600156,600393,0.03164776377680481,-1.5838172791638625,"{600393, 600156}",-0.6102382217447954,1.7599473485254031
600567,600308,0.03255372318116024,-4.22983910150652,"{600308, 600567}",-2.7731724826604465,3.450123143778693
600219,600075,0.032701246927951136,2.3366554176206775,"{600075, 600219}",3.292255534927183,0.47935638996819674
600270,600009,0.03629076397121738,2.4219642998117115,"{600009, 600270}",4.032138799540434,1.4088399465517556
600393,600197,0.03666561379264017,2.2512255397764833,"{600393, 600197}",3.191186907126155,0.8040503815386748
600229,600141,0.038492745650678964,-2.7943132676233025,"{600141, 600229}",0.13038079773961897,2.6970132963121256
600621,600070,0.03872235653896618,-0.39898976963901,"{600621, 600070}",0.17708372489013202,0.8114653548665218
600166,600104,0.03935459374347264,-4.672290017649582,"{600104, 600166}",-2.470715197130736,1.4379227504473184
600393,600020,0.039970155074930236,1.6700580032068832,"{600393, 600020}",1.904243706093209,0.27018292310693603
600527,600302,0.04264653621456135,-2.6879967852640294,"{600302, 600527}",-1.5379189549792618,1.2615502324316723
600085,600535,0.04264872211988836,-8.056961819448897,"{600085, 600535}",-5.958875256230672,1.3961253283001602
600115,600270,0.042781058541751515,1.3694204414359783,"{600115, 600270}",2.3849971381514816,1.1237790921276745
600063,600083,0.04321859624561298,-1.0219400157847829,"{600083, 600063}",-0.04672251871082195,0.6997967982201518
600263,600051,0.04551480048413284,-3.621958658994606,"{600051, 600263}",-2.391875930595994,1.195960001084606
600409,600227,0.04590622205338727,3.3822738612444807,"{600409, 600227}",4.264045891352109,1.0054653400745945
600010,600569,0.04632483136877221,-1.1670411162726697,"{600569, 600010}",-0.5796733313430269,1.406026194207087
600258,600358,0.04769444622139918,-0.08695312754443296,"{600258, 600358}",0.6651460548779821,0.27618043136263026
600197,600172,0.048411563194290894,-0.6425890831031559,"{600172, 600197}",0.22521328993025838,0.8048075932821614
600350,600033,0.04924041802139971,-0.2839007078110047,"{600033, 600350}",0.19252768736373566,1.1876842094972146
600270,600026,0.04934622897996548,-5.646917224452636,"{600026, 600270}",-3.547357083705315,2.188959775787913
